,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
4,25.5,25000,5,2,6,0.5,0.5,24,0,0,0,0,0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Kano,Bachelor's Decree,Private Sector Employee,No,,
5,25.5,25000,8,2,6,0.5,0,24,20,48,16,0,8,0,21-30,"Below N50,000",Bank D,Male,Bank D,Kano,Secondary school leaving certificate,Student,No,,
22,19,25000,4,6,30,0.5,0.5,110,50,160,50,50,20,3,18-20,"Below N50,000",Bank A,Female,Bank A,Abeokuta,OND/HND,Student,No,,
24,25.5,25000,5,0.5,6,0.5,0.5,12,22,-12,40,0,0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Student,No,,
32,25.5,25000,5,2,6,0.5,0,40,10,58,20,20,0,0,21-30,"Below N50,000",Bank O,Female,Bank I,Abeokuta,OND/HND,Student,No,,
33,25.5,25000,3,2,6,0.5,0,40,10,48,10,-10,0,0,21-30,"Below N50,000",Bank I,Female,Bank I,Abeokuta,OND/HND,Student,No,,
34,25.5,25000,4,6,30,0,0.5,60,40,73,50,20,-10,3,21-30,"Below N50,000",Bank J,Female,Bank J,Abeokuta,OND/HND,Others,No,,
35,25.5,25000,2,6,30,0,0.5,40,40,99,40,10,-10,3,21-30,"Below N50,000",Bank K,Female,Bank J,Abeokuta,OND/HND,Others,No,,
41,25.5,25000,2,2,6,0,0,20,0,35,44,27,10,0,21-30,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Student,No,,
52,19,25000,4,6,30,0,30,32,21,-11,-23,-3,-7,1,18-20,"Below N50,000",Bank B,Male,,Abeokuta,OND/HND,Student,No,,
65,25.5,25000,8,2,0.5,0,0,4,5,26,5,13,1,0,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,OND/HND,Student,No,,
66,25.5,25000,3,2,0.5,0,0,-16,5,35,2,0,0,0,21-30,"Below N50,000",Bank F,Male,Bank C,Abeokuta,OND/HND,Student,No,,
67,25.5,25000,5,2,0.5,0,0,-1,-10,-45,4,11,1,0,21-30,"Below N50,000",Bank G,Male,Bank C,Abeokuta,OND/HND,Student,No,,
68,25.5,25000,4,2,0.5,0,0,-7,-12,-45,5,32,1,0,21-30,"Below N50,000",Bank B,Male,Bank C,Abeokuta,OND/HND,Student,No,,
88,33,25000,3,0.5,6,0,0.5,23,4,13,9,4,4,0,31-35,"Below N50,000",Bank D,Male,,Abeokuta,Bachelor's Decree,Others,No,,
101,25.5,25000,3,6,30,2,0.5,80,50,10,0,-10,-10,0,21-30,"Below N50,000",Bank H,Male,Bank H,Abeokuta,OND/HND,Student,No,,
102,25.5,25000,6,6,30,2,0.5,10,-10,-10,0,-10,-10,0,21-30,"Below N50,000",Bank A,Male,Bank H,Abeokuta,OND/HND,Student,No,,
119,25.5,25000,1,6,6,0,0,90,30,95,0,9,0,3,21-30,"Below N50,000",Bank N,Male,Bank N,Abeokuta,OND/HND,Student,No,,
120,25.5,25000,5,6,6,0,0,50,10,27,-20,-9,10,0,21-30,"Below N50,000",Bank E,Male,Bank N,Abeokuta,OND/HND,Student,No,,
121,25.5,25000,3,6,6,0,0,30,0,26,-20,-9,0,0,21-30,"Below N50,000",Bank F,Male,Bank N,Abeokuta,OND/HND,Student,No,,
168,25.5,75000,4,2,6,2,0.5,39,30,9,0,20,10,0,21-30,"N50,000 - N100,000",Bank D,Male,Bank D,Abeokuta,No Response,Private Sector Employee,No,,
174,25.5,25000,3,2,6,0.5,0.5,50,10,10,40,0,0,0,21-30,"Below N50,000",Bank C,Female,Bank K,Abeokuta,OND/HND,Student,No,,
175,25.5,25000,6,2,6,0.5,0.5,50,20,50,40,20,0,3,21-30,"Below N50,000",Bank K,Female,Bank K,Abeokuta,OND/HND,Student,No,,
181,25.5,25000,4,0.5,30,0.5,0.5,90,10,80,60,10,30,3,21-30,"Below N50,000",Bank H,Female,Bank H,Abeokuta,OND/HND,Student,No,,
182,19,25000,2,30,30,0,0,120,50,120,0,30,30,3,18-20,"Below N50,000",Bank J,Male,Bank J,Abeokuta,OND/HND,Student,No,,
191,19,25000,4,0.5,30,6,0,74,34,124,60,60,30,3,18-20,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Student,No,,
193,25.5,25000,5,2,6,0,0,80,40,45,40,10,10,3,21-30,"Below N50,000",Bank H,Male,Bank H,Abeokuta,Bachelor's Decree,Private Sector Employee,No,,
204,25.5,25000,6,6,30,0.5,30,110,39,87,35,4,-6,1,21-30,"Below N50,000",Bank B,Male,Bank B,Abeokuta,OND/HND,Student,No,,
211,25.5,25000,8,0.5,6,0.5,0.5,-36,0,-10,-15,-40,-30,0,21-30,"Below N50,000",Bank H,Female,,Abeokuta,OND/HND,Self Employed,No,,
212,25.5,25000,3,0.5,6,0.5,0.5,-56,-60,-44,-15,-40,-30,0,21-30,"Below N50,000",Bank A,Female,,Abeokuta,OND/HND,Self Employed,No,,
213,25.5,25000,4,0.5,2,0.5,0,23,2,29,20,19,8,0,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,OND/HND,Student,No,,
214,25.5,25000,1,0.5,2,0.5,0,23,2,37,30,19,8,0,21-30,"Below N50,000",Bank O,Male,Bank C,Abeokuta,OND/HND,Student,No,,
217,25.5,25000,4,0.5,6,2,6,-2,6,46,27,27,6,0,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,OND/HND,Student,No,,
225,38,175000,2,0.5,6,6,0.5,60,30,70,20,-20,-10,0,36-40,"N101,000 - N250,000",Bank B,Male,Bank B,Abeokuta,Master's Degree,Civil/Public Servant,No,,
249,25.5,25000,7,2,6,0.5,0.5,28,0,29,9,0,0,0,21-30,"Below N50,000",Bank A,Male,Bank A,Abeokuta,OND/HND,Student,Yes,Bank C,Bank E
256,25.5,25000,7,0.5,6,0.5,0.5,21,-30,-67,17,-10,2,0,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,OND/HND,Student,No,,
257,25.5,25000,4,0.5,6,0.5,0.5,33,-14,46,27,-10,2,0,21-30,"Below N50,000",Bank N,Male,Bank C,Abeokuta,OND/HND,Student,No,,
296,33,75000,6,2,6,0.5,0.5,30,18,-39,20,10,20,0,31-35,"N50,000 - N100,000",Bank G,Male,Bank K,Abeokuta,OND/HND,Private Sector Employee,No,,
297,33,75000,3,2,6,0.5,0.5,30,18,-39,20,10,-10,0,31-35,"N50,000 - N100,000",Bank K,Male,Bank K,Abeokuta,OND/HND,Private Sector Employee,No,,
298,25.5,25000,5,0.5,30,0.5,0.5,117,36,77,6,16,7,3,21-30,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Unemployed,No,,
